sample.id	EV1	EV2	array	pop
202502040120_R01C01	0.381646342904954	0.00702232894777155	1	EUR
202502040120_R01C02	-0.058667526942491	0.049336861208693	1	EUR
202502040120_R02C01	-0.0460157203459478	-0.475554403501234	1	EUR
202502040120_R02C02	-0.0634686006851662	0.0592722773185143	1	EUR
202502040120_R03C01	-0.0485049890000181	0.0343661171516174	1	EUR
202502040120_R03C02	-0.0593109198653016	0.0521343058151058	1	EUR
202502040120_R04C01	-0.0547923525002732	0.0336529264677625	1	EUR
202502040120_R04C02	-0.0526161569354132	0.0577931748045923	1	EUR
202502040120_R05C01	-0.0484248081832924	0.0603406287653297	1	EUR
202502040120_R05C02	0.381605113052351	0.00694602228327717	1	EUR
202502040120_R06C01	-0.0584814609117535	0.0478984217075282	1	EUR
202502040120_R06C02	-0.0586109079624942	0.0537860201512983	1	EUR
202502040120_R07C01	-0.0499617019424767	0.0301230817328898	1	EUR
202502040120_R07C02	-0.0624245801484131	0.0694724722739466	1	EUR
202502040120_R08C01	-0.0614656251821029	0.0534777795908017	1	EUR
202502040120_R08C02	-0.0498725483002439	0.0419004040627352	1	EUR
202502040120_R09C01	0.381321693556587	0.00669615943341118	1	EUR
202502040120_R09C02	-0.0389106261382918	0.0615529276380579	1	EUR
202502040120_R10C01	-0.0460471157872823	-0.47487569183708	1	EUR
202502040120_R10C02	-0.049285216294241	0.0410042792754441	1	EUR
202502040120_R11C01	-0.0485239376960213	0.0344967101778322	1	EUR
202502040120_R11C02	-0.0549694222885265	0.0507723392209633	1	EUR
202502040120_R12C01	-0.0540408282049156	0.0333954069789122	1	EUR
202502040120_R12C02	-0.0572580065487756	0.0397348041070359	1	EUR
202502040079_R01C01	0.381911939056821	0.00690319389471164	2	EUR
202502040079_R01C02	-0.0587518745095465	0.0490567247111103	2	EUR
202502040079_R02C01	-0.0461556469558361	-0.475816508166324	2	EUR
202502040079_R02C02	-0.0583177725463559	0.058914367328884	2	EUR
202502040079_R03C01	-0.0588107088108688	0.0543009233696098	2	EUR
202502040079_R03C02	-0.0525357076128569	0.0481269527957264	2	EUR
202502040079_R04C01	-0.0610402234939666	0.0526607845975578	2	EUR
202502040079_R04C02	-0.0614537520443225	0.059795204409502	2	EUR
202502040079_R05C01	-0.0485188949663356	0.0605438094190184	2	EUR
202502040079_R05C02	0.381336120707652	0.00687007912651385	2	EUR
202502040079_R06C01	-0.056992020695797	0.0568215653348889	2	EUR
202502040079_R06C02	-0.0573065526058746	0.0584472071725291	2	EUR
202502040079_R07C01	-0.0620389610073269	0.0469225052990172	2	EUR
202502040079_R07C02	-0.0536603108577306	0.0343453849787439	2	EUR
202502040079_R08C01	-0.0486562091852359	0.0526171257902751	2	EUR
202502040079_R08C02	-0.0547085194090806	0.0635483386126032	2	EUR
202502040079_R09C01	0.381887465830506	0.00684064516239284	2	EUR
202502040079_R09C02	-0.0620100442612705	0.0422510906419243	2	EUR
202502040079_R10C01	-0.0461724189059376	-0.475998407219949	2	EUR
202502040079_R10C02	-0.0521256592160434	0.0457736640121687	2	EUR
202502040079_R11C01	-0.0535795049790558	0.0496929085115961	2	EUR
202502040079_R11C02	-0.0593069659301803	0.0472570532233843	2	EUR
202502040079_R12C01	-0.0580471600523541	0.0486247228261908	2	EUR
202502040079_R12C02	-0.0578667151994277	0.0267553103927025	2	EUR
